method,seed,annual_return,sharpe,sortino,max_drawdown,avg_turnover,cum_return,worst_regime_sharpe,stress_sharpe,fold
correlation_rank,7,0.1992936310185789,4.119438402164322,4.077042431426655,-0.03326133247045049,0.016666666666666666,1.4692607945847156,4.108541035528054,2.30709405130485,0
elastic_net,7,0.20262901860054083,1.9059820363300612,2.551742663803482,-0.10996183294155637,0.5434535293587058,1.4588884157955713,1.8380819551630645,1.1271960736566693,0
contextual_bandit,7,0.2792696785265141,2.303509410880196,5.170586821900709,-0.04728821409740225,0.5300241692747049,2.337779739567732,2.242695978141423,1.9956029660140588,0
standard_rl,7,0.194297981518047,1.6730394529024515,2.7427733161205037,-0.10395605658132445,0.8634437523131954,1.3639670917645588,1.6034824429832797,0.962572989565227,0
causal_rl,7,0.20567064922543543,2.067511436134521,2.6835105396087733,-0.1068803209174013,0.6780001742651492,1.4972443617094164,2.06487835054586,0.4692496644091956,0
standard_rl,11,0.2567465004953511,1.923892355223141,3.5291661413024067,-0.0987161032006656,0.7192473239937492,2.031803921251931,1.876580904777555,1.4293432998834295,0
causal_rl,11,0.29860590677057086,1.795012409208465,3.9998747716553016,-0.10419020719800642,0.750308900678753,2.5221340135295924,1.749562943691289,2.2257021403628334,0
standard_rl,13,0.2337195522745794,1.7290673251468036,2.9488089511497004,-0.10507009103193765,0.6193425889141044,1.7603415629418135,1.6816763204492848,1.0551546850268456,0
causal_rl,13,0.2465634280810074,2.1905594244567728,3.9848517875273144,-0.08861155830692968,0.773595917102218,1.9374218993356118,2.1292894570128125,2.0784797383909517,0
standard_rl,17,0.20510598864172436,1.9110822424591156,2.855715797330195,-0.10023938456080672,0.7373656505274582,1.4833478915236729,1.8566654855794804,0.7480555545458205,0
causal_rl,17,0.21943481458290726,1.8751795157615414,3.0525119396200964,-0.07333434808946138,0.985330966310708,1.624066345773437,1.832284801640732,1.2708731422254054,0
standard_rl,19,0.2060809777948287,1.7241696536220725,2.6308093534123453,-0.09398420868746926,0.8016147225728176,1.4800356620140347,1.6762425133350791,0.7142539339204825,0
causal_rl,19,0.22391083492277541,2.0281232390741977,3.3823562482498444,-0.08544368434522431,0.894909422029278,1.6810959790132984,1.9823031908783144,1.5581926504919064,0
correlation_rank,7,0.233819082684259,2.8437361015701796,4.335997877024664,-0.03909637955697953,0.016666666666666666,1.821682529997393,2.35683499842885,2.35683499842885,1
elastic_net,7,0.37372543113538703,1.1983116535010176,2.048751624227993,-0.2709879592692105,0.5935686070891913,3.147679292093968,0.6140622724078943,0.6140622724078943,1
contextual_bandit,7,0.3472396395407902,1.6083568104562194,2.952675225501346,-0.10945232076818034,0.7309020356446129,3.0870034643737707,1.2519774688218404,1.2519774688218404,1
standard_rl,7,0.34573170697697253,1.0558403640945515,1.642334523932699,-0.3239784314180362,0.6250108151600725,2.6621887734735403,0.289690164632023,0.289690164632023,1
causal_rl,7,0.05130129594803434,0.1872439544331164,0.22960580682942877,-0.45132230218075164,0.7564585435397073,0.06822742114626523,-0.216041748160209,0.7280901909727108,1
standard_rl,11,0.38816422341849366,1.420150776918391,3.9612583687686493,-0.20966099482781353,0.7385299501835596,3.569390363377492,0.9696409047100313,0.9696409047100313,1
causal_rl,11,0.05573297056539839,0.2050889827168106,0.3195299757174763,-0.36447504936076136,0.7877736564911922,0.10535279073132453,-0.10087759930517402,0.5989303332085592,1
standard_rl,13,0.31655184762551025,0.9600042785039999,1.594256385617723,-0.37937124714118176,0.6846091814559163,2.2637488583551097,0.20831008604570905,0.20831008604570905,1
causal_rl,13,0.06605505858887373,0.23026997897246787,0.26775682683990487,-0.5038233643452016,0.9281424486301851,0.12260735278507684,-0.2007718015251573,0.9156879439834684,1
standard_rl,17,0.291933820774515,1.0007482939404053,2.0688540051008246,-0.24642964246804888,0.8188924454599658,2.101006855818098,0.21942153623124847,0.21942153623124847,1
causal_rl,17,0.024676398182820858,0.08197323946558456,0.09349258418898317,-0.5574865787948069,0.6703713940289943,-0.11000841373868042,-0.5820046165504483,1.018494005672388,1
standard_rl,19,0.1717725499430347,0.640967493321228,1.1999010822844525,-0.262939034655994,0.8063187227951732,0.9092736074004719,-0.011459378673236466,-0.011459378673236466,1
causal_rl,19,0.01900993664549011,0.06531539388798295,0.0803147471366617,-0.5532353713693803,0.5799597961757507,-0.12200173971419603,-0.6676719405053394,1.1444800202940038,1
correlation_rank,7,0.06654833539157679,0.5946855594279917,0.5916537736239628,-0.2373787992733204,0.016666666666666666,0.33977285290387793,0.4045533258926333,2.5199454393571026,2
elastic_net,7,0.1775573386534155,1.1557582008082061,1.5146456711481726,-0.12538887517889208,0.6099449464813786,1.1553143143409703,0.9911855479403754,2.035360054765256,2
contextual_bandit,7,0.1314487881651114,0.9605177227417907,1.4086933492040532,-0.21520141966393846,0.7537418714244197,0.7801726676313496,0.7529506056130911,1.6341853241738589,2
standard_rl,7,0.13374404600181844,0.9257336222580002,1.603368535907275,-0.11290278164617462,0.8685268778789397,0.7912727503177974,0.8265187211013392,2.4270992595971577,2
causal_rl,7,0.16043134273080817,0.9130965541798326,1.1058214407805278,-0.22168945784049043,0.818011679138796,0.9692427008426527,0.7757681033580215,2.1319092906139683,2
standard_rl,11,0.189346443526637,0.9627909414757007,1.136029297847327,-0.18347894198114645,0.5806272611112983,1.1939120120893358,0.8698751864251788,1.9729974199949174,2
causal_rl,11,0.18652917136570646,1.2023131869232473,1.6794475719222142,-0.10660537076029797,0.7337958612049449,1.2378464532758473,1.0539750460903246,1.956402928343505,2
